CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
02677-020	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-000	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-005	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-010	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-011	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-020	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-030	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-050	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-060	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-070	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02678-080	Região de Favela		SP	São Paulo	Jardim Antártica 	TRÊS FRONTEIRAS I - TRÊS FRONTEIRAS	https://goo.gl/maps/4czjJG3RqS4uf2Ce7													
02678-250	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-000	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-010	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-020	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-030	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-040	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-050	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-060	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-070	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-080	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-090	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-100	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-110	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02679-120	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-000	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-010	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-015	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-020	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-021	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-023	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-025	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-027	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-030	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-031	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-035	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-040	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-050	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-055	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
02680-060	Região de Favela		SP	São Paulo	Jardim Peri	CABUÇU I - CACHOEIRA DOS ANTUNES - CAMPO GUARANI - COIMBRA - COMUNIDADE DE SÃO JOSÉ - CONDESSA AMÁLIA MATARAZZO - DO SAPO - ELISA MARIA - FLAMENGO - FRAGATA - LETÍCIA CINI I - LETÍCIA LICI - PAINEIRA - SEM DENOMINAÇÃO 03 - SEM DENOMINAÇÃO 04 - SUCUPIRA I - SERRANA FLUMINENSECONSTITUIÇÃO - JARDIM PERI ALTO III - JARDIM PERI ALTO II - JARDIM PERI ALTO I - JARDIM PERI NOVO I - JARDIM PERI NOVO	https://goo.gl/maps/ip1WjNnL7RkSCn6L8													
