CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
01205-001	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-010	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-900	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-901	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-902	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-903	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-904	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01205-905	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-001	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-010	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-901	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-902	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-904	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-905	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01206-972	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01211-900	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
